Checklist item,Item score,Sub-item number,Sub-item,Reported by authors?,Notes
Title and abstract,100%,1.1,"Identify the review as a systematic review, meta-analysis, or both",Yes,Identified in title and in abstract as both a systematic review and a meta-analysis
,,1.2,Summarise the aims and scope of the review,Yes,In the abstract
,,1.3,Describe the data set,Yes,In the abstract
,,1.4,State the results of the primary outcome,Yes,In the abstract
,,1.5,State conclusions,Yes,In the abstract
,,1.6,State limitations,Yes,In the abstract
Aims and questions,100%,2.1,Provide a rationale for the review,Yes,Rationale explained in the Introduction in detail
,,2.2,Reference any previous reviews or meta-analyses on the topic,Yes,Clearly stated twice in the introduction
,,2.3,State the aims and scope of the review (including its generality),Yes,Scope (only birds and experimental studies) explained along with the aims in the last paragraph of Introduction
,,2.4,State the primary questions the review addresses (e.g. which moderators were tested),Yes,Moderators tested are clearly stated in the methods in the data analysis section.
,,2.5,Describe whether effect sizes were derived from experimental and/or observational comparisons,Yes,"Only experimental studies were selected, described in the last paragraph of introduction as well as the methods"
Review registration,100%,3.1,"Register review aims, hypotheses (if applicable), and methods in a time-stamped and publicly accessible archive and provide a link to the registration in the methods section of the manuscript. Ideally registration occurs before the search, but it can be done at any stage before data analysis.",Yes,https://doi.org/10.17605/OSF.IO/S7J6Z
,,3.2,Describe deviations from the registered aims and methods,Yes,Described in methods wherever applicable
,,3.3,Justify deviations from the registered aims and methods,Yes,"When applicable, described in the methods"
Eligibility criteria,100%,4.1,"Report the specific criteria used for including or excluding studies when screening titles and/or abstracts, and full texts, according to the aims of the systematic review (e.g. study design, taxa, data availability)",Yes,"Described briefly in the methods, but mainly in the decision tree (see Supplementary Materials)"
,,4.2,"Justify criteria, if necessary (i.e. not obvious from aims and scope.",Yes,Described along with the decision tree (see Supplementary Materials)
Finding studies,100%,5.1,"Define the type of search (e.g. comprehensive search, representative sample)",Yes,"Comprehensive search conducted, described in methods along with search string (complete search string provided in the supplementary materials)"
,,5.2,"State what sources of information were sought (e.g. published and unpublished studies, personal communications)",Yes,"Published, unpublished as well as personal communications. Described in detail in the Eligibility Criteria and Data Extraction section of Methods Section"
,,5.3,"Include, for each database searched, the exact search strings used, with keyword combinations and Boolean operators",Yes,See complete search string in the Supplementary Materials
,,5.4,"Provide enough information to repeat the equivalent search (if possible), including the timespan covered (start and end dates)",Yes,See complete search string details in the Supplementary Materials. Search dates are described in the methods.
Study selection,100%,6.1,"Describe how studies were selected for inclusion at each stage of the screening process (e.g. use of decision trees, screening software)",Yes,Abstract-Title screening was conducted using the R package revtools GUI and Fulltext screening was conducted in excel manually downloading the articles. Described in detail in the pre-registration and methods section. The decision tree is provided in the supplementary materials.
,,6.2,Report the number of people involved and how they contributed (e.g. independent parallel screening),Yes,Described in detail in the methods section. All screening decision files are shared as .xls/.csv files with notes on the decisions made.
Data collection process,100%,7.1,Describe where in the reports data were collected from (e.g. text or figures),Yes,"In all files after the data extraction (shared along with the project), the column data_location contains this information"
,,7.2,"Describe how data were collected (e.g. software used to digitize figures, external data sources)",Yes,Described in detail in the Data extraction section.
,,7.3,Describe moderator variables that were constructed from collected data (e.g. number of generations calculated from years and average generation time),Yes,All moderators are described in detail in the metadata file of the overall dataset. Please see data_cleaning.Rmd and data_preparation.Rmd files for any cleaning done to the files. All codes are provided along with the dataset.
,,7.4,"Report how missing or ambiguous information was dealt with during data collection (e.g. authors of original studies were contacted for missing descriptive statistics, and/or effect sizes were calculated from test statistics)",Yes,Described in detail in the data extraction and effect size calculation section in the methods.
,,7.5,Report who collected data,Yes,The extractor_ID column in the data file has information on the ID of who collected the data. The methods section also describes the ID of the data collector.
,,7.6,State the number of extractions that were checked for accuracy by co-authors,,Described in the methods section along with % of disagreement and process of resolution. The data_checker_ID column in the data files has information on the ID of who checked the data.
Data items,100%,8.1,Describe the key data sought from each study,Yes,The priority order of data extraction is described in detail in the Data extraction section of the methods.
,,8.2,"Describe items that do not appear in the main results, or which could not be extracted due to insufficient information",Yes,All information that is excluded from analysis is described in detail in the methods. Some proxies that could not be included in the analysis for various reasons are reported in the supplementary material along with the reason.
,,8.3,Describe main assumptions or simplifications that were made (e.g. categorising both 'length' and 'mass' as 'morphology'),Yes,"All major decisions are described in the methods section, for any remaining description please check the notes column in the data files."
,,8.4,"Describe the type of replication unit (e.g. individuals, broods, study sites)",Yes,"Described in the methods, we prioritised nests as the unit of replication whenever possible."
Assessment of individual study quality,100%,9.1,"Describe whether the quality of studies included in the systematic review or meta-analysis was assessed (e.g. blinded data collection, reporting quality, experimental versus observational)",Yes,"The risk of bias assessment performed for the individual studies is described in the methods and results reported in the results section (See supplementary material for all model output and figures). The risk of bias categories we evaluated were blinding, random assignment to each treatment and partial reporting"
,,9.2,Describe how information about study quality was incorporated into analyses (e.g. meta-regression and/or sensitivity analysis),Yes,"We conducted three meta-regressions using blinding, random assignment to each treatment and partial reporting as moderators in each analysis. We reported the outcome briefly in the Results (See supplementary material for all model output and figures)"
Effect size measures,100%,10.1,Describe effect size(s) used,Yes,Described in Effect Size Calculation section in Methods
,,10.2,"Provide a reference to the equation of each calculated effect size (e.g. standardised mean difference, log response ratio) and (if applicable) its sampling variance",Yes,"Described in the Effect Size Calculation section in Methods. Check data_preparation.Rmd in Code to see the exact function, its parameters and any equations that were used to estimate the effect sizes."
,,10.3,"If no reference exists, derive the equations for each effect size and state the assumed sampling distribution(s)",Yes,Does not apply. Any custom equations used from books etc. are clearly mentioned as well as referenced in the Methods section.
Missing data,100%,11.1,"Describe any steps taken to deal with missing data during analysis (e.g. imputation, complete case, subset analysis)",Yes,All imputations conducted for the missing data are stated clearly in the Effect Size Calculations in Methods Section
,,11.2,Justify the decisions made to deal with missing data,Yes,We decided to impute the missing data but also conducted the sensitivity analysis excluding the imputed value. All justifications are clearly stated in the methods.
Meta-analytic model description,100%,12.1,Describe the models used for synthesis of effect sizes,Yes,Described all models in Data Analysis section of the Methods
,,12.2,"The most common approach in ecology and evolution will be a random-effects model, often with a hierarchical/multilevel structure. If other types of models are chosen (e.g. common/fixed effects model, unweighted model), provide justification for this choice",Yes,"Not applicable, Multilevel meta analytical model and meta-regressions were conducted. No justification needed"
Software,100%,13.1,Describe the statistical platform used for inference (e.g. R),Yes,R v4.5.1 was used for the analysis and is clearly stated in the Methods.
,,13.2,Describe the packages used to run models,Yes,All packages and their versions are described in the Methods.
,,13.3,Describe the functions used to run models,Yes,All important functions used for running the models are stated in the Methods.
,,13.4,Describe any arguments that differed from the default settings,Yes,"We have clearly stated all the important arguments that differed from the default settings. However, see data_analysis.Rmd for full description of the arguments for each model."
,,13.5,Describe the version numbers of all software used,Yes,All packages and their versions are described in the Methods.
Non-independence,100%,14.1,"Describe the types of non-independence encountered (e.g. phylogenetic, spatial, multiple measurements over time)",Yes,See data analysis for more details on how non-independence was handled.
,,14.2,Describe how non-independence has been handled,Yes,See data analysis for more details on how non-independence was handled.
,,14.3,Justify decisions made,Yes,See data analysis for more details on how non-independence was handled.
Meta-regression and model selection,100%,15.1,Provide a rationale for the inclusion of moderators (covariates) that were evaluated in meta-regression models,Yes,All the moderators that were evaluated were pre-registered with the rationale behind it clearly stated. See Data analysis for more details (but also see pre-registration).
,,15.2,"Justify the number of parameters estimated in models, in relation to the number of effect sizes and studies (e.g. interaction terms were not included due to insufficient sample sizes)",Yes,We described the random effects that were not included in the models in the Methods section
,,15.3,Describe any process of model selection,Yes,No model selection was conducted
Publication bias and sensitivity analysis,100%,16.1,"Describe assessments of the risk of bias due to missing results (e.g. publication, time-lag, and taxonomic biases)",Yes,"Time-lag bias and small study bias are reported in the methods, results and discussion."
,,16.2,Describe any steps taken to investigate the effects of such biases (if present),Yes,We discussed the effects of potential biases and conducted a sensitivity analysis accounting these effects for the two main models.
,,16.3,"Describe any other analyses of robustness of the results, e.g. due to effect size choice, weighting or analytical model assumptions, inclusion or exclusion of subsets of the data, or the inclusion of alternative moderator variables in meta-regressions",Yes,"All sensitivity analysis are mentioned in the methods, results and discussed where aproporiate. All the results from the sensitivity analysis/robustness checks are reported as a table in the supplementary material."
Clarification of post hoc analyses,100%,17.1,"When hypotheses were formulated after data analysis, this should be acknowledged.",Yes,All analysis are pre-registered and exploratory analysis are clearly stated under exploratory analysis both in the pre-registration and final article
"Metadata, data, and code",100%,18.1,Share metadata (i.e. data descriptions),Yes,See data and code availability statement for details.
,,18.2,Share data required to reproduce the results presented in the manuscript,Yes,See data and code availability statement for details.
,,18.4,"Share analysis scripts (or, if a software package with graphical user interface (GUI) was used, then describe full model specification and fully specify choices)",Yes,See data and code availability statement for details.
Results of study selection process,100%,19.1,Report the number of studies screened,Yes,Details in method and the PRISMA Flowchart in supplementary material
,,19.2,Report the number of studies excluded at each stage of screening,Yes,Details in method and the PRISMA Flowchart in supplementary material
,,19.3,Report brief reasons for exclusion from the full text stage,Yes,Details in the PRISMA Flowchart in supplementary material
,,19.4,Present a Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA)-like flowchart (www.prisma-statement.org).,Yes,Figure S1 in supplementary materials is a PRISMA Flowchart
Sample sizes and study characteristics,100%,20.1,Report the number of studies and effect sizes for data included in meta-analyses,Yes,Details in method and supplementary tables
,,20.2,Report the number of studies and effect sizes for subsets of data included in meta-regressions,Yes,Details in method and supplementary tables
,,20.3,Provide a summary of key characteristics for reported outcomes (either in text or figures; e.g. one quarter of effect sizes reported for vertebrates and the rest invertebrates),Yes,All figures contain effect sizes (k) and unique articles (n) for different moderator levels. Summary of reported outcomes is also in the first paragraph of the Results.
,,20.4,Provide a summary of limitations of included moderators (e.g. collinearity and overlap between moderators),NA,"All moderators tested were categorical and only publication year was a continuous moderator. Therefore, no collinearity or overlap is possible."
,,20.5,Provide a summary of characteristics related to individual study quality (risk of bias),Yes,"This data is presented in dataset in columns blinding, missing_data, random_assignment"
Meta-analysis,100%,21.1,"Provide a quantitative synthesis of results across studies, including estimates for the mean effect size, with confidence/credible intervals",Yes,See results and supplementary material for detail of all the synthesis.
Heterogeneity,100%,22.1,"Report indicators of heterogeneity in the estimated effect (e.g. I2, tau2 and other variance components)",Yes,All estimates of heterogeneity are reported in the results and model table. Also see supplementary material for the results not reported in the main text.
Meta-regression,100%,23.1,Provide estimates of meta-regression slopes (i.e. regression coefficients) and confidence/credible intervals,Yes,See results and supplementary material for detail of all the synthesis.
,,23.2,Include estimates and confidence/credible intervals for all moderator variables that were assessed (i.e. complete reporting),Yes,See results and supplementary material for detail of all the synthesis.
,,23.3,"Report interactions, if they were included",NA,There were no interactions included
,,23.4,"Describe outcomes from model selection, if done (e.g. R2 and AIC)",NA,No model selection was conducted.
